url,name,desc
https://www.parp.gov.pl/component/grants/grants/swo,System Wczesnego Ostrzegania,"Wsparcie szkoleniowe, doradcze i mentoringowe dla mikro, małych i średnich przedsiębiorstw, które znalazły się w okresowych trudnościach."
http://www.eurocapitaldotacje.pl/restart/,Projekt „Profesjonalny restart”,Wsparcie szkoleniowo - doradcze dla osób ponownie rozpoczynających działalność gospodarczą z terenu całej Polski.
https://www.parp.gov.pl/component/grants/grants/granty-na-eurogranty,Granty na Eurogranty,Pomoc finansowa na pokrycie wydatków związanych z przygotowaniem projektu do realizacji w ramach Programu UE
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Moja praca w turystyce,Wzrost kompetencji pracowników z sektora turystycznego
https://www.parp.gov.pl/component/grants/grants/kompetencje-dla-sektorow,Kompetencje dla sektorów - oferta dla przedsiębiorców,"Dofinansowanie wsparcia mikro, małych, średnich i dużych przedsiębiorstw w obszarze szkoleń, doradztwa i studiów podyplomowych."
https://www.parp.gov.pl/component/grants/grants/akademia-menadzera-msp,Akademia Menadżera MŚP - oferta dla przedsiębiorców,"Dofinansowanie wsparcia mikro, małych i średnich przedsiębiorstw w obszarze zarządzania przedsiębiorstwem, w tym zasobami ludzkimi dla kadry menedżerskiej."
https://www.parp.gov.pl/component/grants/grants/poland-prize,Poland Prize,Wsparcie zagranicznych startupów w rozpoczęciu i rozwoju działalności w Polsce
https://www.parp.gov.pl/component/grants/grants/kompetencje-dla-sektorow-2,Kompetencje dla sektorów 2 - oferta dla przedsiębiorców,"Dofinansowanie wsparcia mikro, małych, średnich i dużych przedsiębiorstw w obszarze szkoleń, doradztwa i studiów podyplomowych."
http://www.dostepnydesign.pl/,Projekt „Dostępny design”,"Szkolenia z dostępności w województwach: wielkopolskim, lubuskim, zachodniopomorskim i dolnośląskim."
https://szkolenia.certes.pl/,Projekt „Na plusie - dostępność szansą rozwoju przedsiębiorstw”,"Szkolenia z dostępności w województwach: łódzkim, opolskim i śląskim."
http://utilitia.pl/projekty/dostepny-przedsiebiorca-szkolenia-i-doradztwo-w-zakresie-technologii-asystujacych-kompensacyjnych-i-projektowania-uniwersalnego/,Projekt „Dostępny przedsiębiorca”,"Szkolenia z dostępności w województwach: małopolskim, podkarpackim i świętokrzyskim."
https://www.oditk.eu/projekty/dostep-do-wiedzy-kluczem-do-zwiekszenia-dostepnosci,Projekt „Dostęp do wiedzy kluczem do zwiększenia Dostępności”,"Szkolenia z dostępności w województwach: pomorskim, warmińsko-mazurskim, podlaskim i kujawsko-pomorskim."
https://hrp.com.pl/projekty/#projekty-aktualne,Projekt „Przepis na Rozwój - Dostępność szansą na rozwój”,Szkolenia z dostępności w województwach: lubelskim i mazowieckim.
https://www.parp.gov.pl/component/grants/grants/platformy-startowe,Platformy Startowe,Rozwinięcie Twojego pomysłu w innowacyjny produkt bądź usługę we współpracy z ekspertami
http://www.sternacel.avsipolska.org​,Projekt „Ster na cel”,"Wsparcie szkoleniowo - doradcze dla osób ponownie rozpoczynających działalność gospodarczą z terenu województwa łódzkiego, lubelskiego i mazowieckiego."
http://polbi.pl/akademia-pozytywnej-zmiany-projekt-ue/,"Projekt ""Akademia pozytywnej zmiany""",Wsparcie szkoleniowo - doradcze dla osób ponownie rozpoczynających działalność gospodarczą z terenu całej Polski.
https://www.parp.gov.pl/component/grants/grants/erasmus-global,Erasmus Global,Uczenie się od doświadczonych przedsiębiorców z innych państw.
https://www.parp.gov.pl/component/grants/grants/platforma-startowa-startup-heroes,Platforma startowa: Startup Heroes,Rozwinięcie Twojego pomysłu w innowacyjny produkt bądź usługę we współpracy z ekspertami
https://www.parp.gov.pl/component/grants/grants/platforma-startowa-wschodni-akcelerator-biznesu,Platforma startowa: Wschodni Akcelerator Biznesu,Rozwinięcie Twojego pomysłu w innowacyjny produkt bądź usługę we współpracy z ekspertami
https://www.parp.gov.pl/component/grants/grants/platforma-startowa-hub-of-talents-2,Platforma startowa: Hub of Talents 2,Rozwinięcie Twojego pomysłu w innowacyjny produkt bądź usługę we współpracy z ekspertami
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Przepis na Rozwój - kompetencje szyte na miarę 2,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora mody.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Przepis na rozwój – rozpędzamy kompetencje w branży Moto,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora motoryzacji z elementami elektromobilności.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Kompetencje dla Branży Turystycznej,Wzrost kompetencji pracowników MŚP z sektora turystycznego.
http://wgpr.pl/specjalizacje/zagraniczne-zamowienia-publiczne/,"Projekt ""Zagraniczne zamówienia publiczne w Twojej firmie""",Projekt skierowany jest do firm terenu Polski zainteresowanych udziałem w zagranicznych zamówieniach publicznych lub zamówieniach publicznych organizacji międzynarodowych.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Ścieżki rozwoju - nowoczesne kadry sektora turystyka,Wzrost kompetencji pracowników MSP z sektora turystyki.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Kompetencje dla budownictwa - edycja II,Projekt zwiększający zdolności adaptacyjne MŚP z sektora budowlanego
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Oferta rozwoju kwalifikacji i kompetencji kadr sektora komunikacja marketingowa,Wzrost kompetencji pracowników MSP z sektora komunikacji marketingowej.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Kompetencje dla sektora finansowego,Wzrost kompetencji pracowników MŚP z sektora finansowego.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Przepis na Rozwój - kompetencje szyte na miarę,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora mody.
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Akademia Kompetencji Sektora IT,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora IT.
https://sukcesja.org/sukcesja/,"Projekt ""Przez sukcesję z Przewodnikiem""","Uzyskaj wsparcie w zaplanowaniu sukcesji w województwach: małopolskim, podkarpackim i świętokrzyskim"
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Rozwój kapitału ludzkiego w sektorze kompetencji w handlu,Wzrost kompetencji pracowników MSP z sektora handlu.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Rozwój kapitału ludzkiego w sektorze żywności wysokiej jakości,Wzrost kompetencji pracowników MSP oraz dużych przedsiębiorstw z sektora żywności.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Kompetencje wysokich lotów,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora lotniczo-kosmicznego.
https://siecprzedsiebiorczychkobiet.pl/restart/,"reSTART zmiany, które budują",Wsparcie szkoleniowo - doradcze dla osób ponownie rozpoczynających działalność gospodarczą z terenu całej Polski.
http://cdf.lukow.pl/projekt-drugi-start-pewny-sukces/,Drugi start-pewny sukces,Wsparcie szkoleniowo - doradcze dla osób ponownie rozpoczynających działalność gospodarczą z terenu województwa lubelskiego i mazowieckiego.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Kompetencje dla sektora telekomunikacji,Wzrost kompetencji pracowników MSP z sektora telekomunikacji.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Akademia Przedsiębiorcy: Podniesienie kompetencji pracowników sektora odzysku materiałowego surowców,Wzrost kompetencji pracowników MSP oraz dużych przedsiębiorstw z sektora odzysku surowców.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Akademia kompetencji sektora finansowego,Wzrost kompetencji pracowników MSP z sektora finansów.
https://oditk.eu/sukcesja/,"Projekt ""Sukcesja z sukcesem""","Uzyskaj wsparcie na zaplanowanie sukcesji w województwach: kujawsko-pomorskim, podlaskim, pomorskim i warmińsko-mazurskim"
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Przepis na Rozwój - wsparcie Sektora Usług Rozwojowych,Wzrost kompetencji pracowników MŚP z sektora usług rozwojowych.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Rozwój kluczowych kompetencji kadr sektora nowoczesnych usług biznesowych,Wzrost kompetencji pracowników MŚP z sektora nowoczesnych usług biznesowych.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Dobry kurs - rozwój kompetencji w sektorze motoryzacyjnym,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora motoryzacji i elektromobilności.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Kompetentni Pracownicy Sektora Budowlanego,Wzrost kompetencji pracowników MŚP z sektora budowlanego.
https://www.parp.gov.pl/component/site/site/formularz-zgloszeniowy-kompetencje-dla-sektorow-2,Nowoczesne Kompetencje w Sektorze Chemicznym,Wzrost kompetencji pracowników MŚP oraz dużych przedsiębiorstw z sektora chemii.
http://sukcesja.novapraxis.pl/,Sukcesja w firmach rodzinnych - wsparcie przejścia między generacjami,"Uzyskaj wsparcie w zaplanowaniu sukcesji w województwach: łódzkim, opolskim i śląskim."
https://www.parp.gov.pl/component/site/site/kompetencje-dla-sektorow-formularz,Kompetencje dla Sektora Opieki Zdrowotnej i Pomocy Społecznej,Wzrost kompetencji pracowników MŚP z sektora zdrowia i pomocy społecznej.
https://www.technopark.kielce.pl/polandprize/,Poland Prize powered by Kielecki Park Technologiczny,
https://startupspark.io/en/re_source_en/,Poland Prize powered by Lodz Special Economic Zone,
https://www.parp.gov.pl/component/grants/grants/wsparcie-msp-w-obszarze-cyfryzacji-bony-na-cyfryzacje,Wsparcie MSP w obszarze cyfryzacji - Bony na cyfryzację,Łagodzenie skutków wystąpienia COVID-19 oraz ograniczanie ryzyk gospodarczych i społecznych wywoływanych przez pandemię poprzez transformację cyfrową gospodarki.
https://polandprize.eu/,Poland Prize powered by Huge Tech,
https://accelerator.concordiadesign.pl/,Poland Prize powered by Concordia Design,
https://www.parp.gov.pl/component/site/site/najlepsze-programy-rozwoju-inicjatyw-pracowniczych,Najlepsze programy rozwoju inicjatyw pracowniczych,Realizujesz w firmie program rozwoju inicjatyw pracowniczych? Włączasz pracowników w działania rozwojowe? A może posiadasz rozwiązanie ICT wspierające takie programy? Weź udział w konkursie!
